Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/BayesModel.java;155;239;10;0;2;164;160;82;155;160;15;886;234;88;18;0.07531380753138076;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/BayesThetaNormalizerDriver.java;132;220;7;0;2;136;126;45;132;126;18;798;234;114;20;0.09090909090909091;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/BayesThetaNormalizerMapper.java;98;156;7;0;2;110;105;27;98;105;14;828;234;118;18;0.11538461538461539;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/BayesThetaNormalizerReducer.java;55;107;6;0;2;72;71;36;55;71;9;892;234;81;18;0.16822429906542055;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/common/BayesFeatureDriver.java;103;159;9;0;3;105;100;26;103;100;11;869;234;96;18;0.11320754716981132;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/common/BayesFeatureMapper.java;142;213;12;1;2;150;134;30;142;134;11;882;234;88;18;0.08450704225352113;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/common/BayesFeatureOutputFormat.java;63;90;5;0;2;66;64;33;63;64;12;735;234;147;18;0.2;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/common/BayesFeatureReducer.java;49;62;4;0;2;49;45;16;49;45;12;799;234;88;18;0.2903225806451613;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/common/BayesTfIdfDriver.java;116;180;7;0;2;119;111;29;116;111;16;798;234;114;20;0.1111111111111111;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/common/BayesTfIdfMapper.java;99;154;7;0;2;107;104;35;99;104;14;828;234;118;18;0.11688311688311688;YES
