Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java;129;133;3;0;2;129;128;64;129;128;43;266;171;88;10;0.07518796992481203;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java;64;66;2;0;2;64;64;64;64;64;32;378;207;189;22;0.3333333333333333;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java;206;206;1;0;1;206;206;206;206;206;206;3;3;3;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java;315;319;4;0;3;315;311;105;315;311;78;473;207;118;33;0.10344827586206896;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java;51;51;1;0;1;51;51;51;51;51;51;207;207;207;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java;57;57;1;0;1;57;57;57;57;57;57;207;207;207;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java;47;47;1;0;1;47;47;47;47;47;47;207;207;207;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java;92;93;2;0;2;92;92;92;92;92;46;378;207;189;22;0.23655913978494625;NO
BOOKKEEPER;2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java;215;227;3;0;1;215;177;71;215;177;71;0;0;0;8;0.03524229074889868;NO
BOOKKEEPER;2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java;271;284;2;0;1;271;260;135;271;260;135;0;0;0;8;0.028169014084507043;NO
BOOKKEEPER;2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java;451;538;5;0;3;455;425;113;451;425;90;0;0;0;13;0.024163568773234202;NO
BOOKKEEPER;2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;137;0;0;0;2;0;0;0;0;0;0;0;0;0;33;0.0;NO
BOOKKEEPER;2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;368;293;2;0;3;124;123;62;124;123;62;0;0;0;58;0.19795221843003413;NO
BOOKKEEPER;2;bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java;216;220;4;0;2;216;211;72;216;211;54;0;0;0;13;0.05909090909090909;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;764;1009;20;0;4;175;53;12;0;53;0;0;0;0;60;0.05946481665014866;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java;51;54;2;0;2;52;52;52;51;52;25;0;0;0;10;0.18518518518518517;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;150;63;2;0;4;58;53;29;58;53;29;0;0;0;58;0.9206349206349206;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java;31;35;2;0;2;33;33;33;31;33;15;0;0;0;10;0.2857142857142857;NO
BOOKKEEPER;2;;0;0;0;0;0;0;0;0;0;0;0;12;12;12;0;0.0;NO
