Version,File Name,Size(LOC), LOC_Touched,NR,NFix,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Weighted_Age,Buggy
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,93,4,0,2,84,83,42,84,83,21,500,207,125,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,1,0,1,72,72,72,72,72,72,29,29,29,0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,63,3,0,2,58,58,58,58,58,19,407,207,135,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123,130,4,0,2,123,122,61,123,122,30,500,207,125,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,369,1,0,1,369,369,369,369,369,369,500,207,125,0,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,243,5,0,2,231,224,77,231,224,46,500,207,125,33,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,645,4,0,2,586,585,293,586,585,146,500,207,125,33,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,390,5,0,2,366,365,183,366,365,73,509,207,101,33,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,108,4,0,2,99,98,49,99,98,24,500,207,125,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,41,1,0,1,41,41,41,41,41,41,207,207,207,0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,79,2,0,2,66,65,33,66,65,33,378,207,189,22,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54,55,3,0,3,54,45,27,54,45,18,417,207,139,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,51,2,0,2,47,47,47,47,47,23,378,207,189,22,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,205,4,0,3,185,185,185,183,185,45,476,207,119,34,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,49,1,0,1,49,49,49,49,49,49,207,207,207,0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,50,1,0,1,50,50,50,50,50,50,207,207,207,0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,100,2,0,2,98,97,49,98,97,49,300,207,150,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,138,1,0,1,138,138,138,138,138,138,207,207,207,0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,43,1,0,1,43,43,43,43,43,43,207,207,207,0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,42,1,0,1,42,42,42,42,42,42,207,207,207,0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,56,1,0,1,56,56,56,56,56,56,207,207,207,0,0,NO
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,51,52,2,0,2,51,51,51,51,51,25,378,207,189,22,0,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,41,41,1,0,1,41,41,41,41,41,41,207,207,207,0,0,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,104,111,2,0,2,104,104,104,104,104,52,378,207,189,22,0,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,54,54,1,0,1,54,54,54,54,54,54,207,207,207,0,0,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,163,2,0,2,162,162,162,162,162,81,378,207,189,22,0,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6367,12362,2,0,2,6367,6095,3183,6367,6095,3183,171,171,171,1,0,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153,155,2,0,2,153,153,153,153,153,76,378,207,189,22,0,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,43,1,0,1,43,43,43,43,43,43,207,207,207,0,0,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,42,2,0,2,41,41,41,41,41,20,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,156,3,0,2,105,104,52,105,104,35,471,207,157,33,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,148,5,0,3,105,103,35,105,103,21,537,207,107,33,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,126,4,0,3,92,91,46,92,91,23,489,207,122,33,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101,151,3,0,2,101,100,50,101,100,33,471,207,157,33,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,45,1,0,1,45,45,45,45,45,45,207,207,207,0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289,290,2,0,2,289,289,289,289,289,144,378,207,189,22,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,35,2,0,2,32,31,16,32,31,16,300,207,150,33,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,111,1,0,1,111,111,111,111,111,111,207,207,207,0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,36,2,0,2,35,35,35,35,35,17,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81,81,1,0,1,81,81,81,81,81,81,207,207,207,0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,27,1,0,1,27,27,27,27,27,27,207,207,207,0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,28,1,0,1,28,28,28,28,28,28,207,207,207,0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29,30,2,0,2,29,29,29,29,29,14,378,207,189,22,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566,600,4,0,3,566,561,188,566,561,141,471,207,157,33,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64,80,2,0,2,64,64,64,64,64,32,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,30,2,0,2,29,29,29,29,29,14,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,64,65,2,0,2,64,64,64,64,64,32,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,40,2,0,2,37,37,37,37,37,18,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68,79,2,0,2,68,68,68,68,68,34,378,207,189,22,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,154,165,3,0,2,154,153,77,154,153,51,471,207,157,33,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72,73,2,0,2,72,72,72,72,72,36,378,207,189,22,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,385,400,6,0,3,385,364,77,385,364,64,530,207,88,33,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,76,78,2,0,2,76,76,76,76,76,38,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,159,163,3,0,2,159,158,79,159,158,53,471,207,157,33,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,737,890,3,0,2,737,736,368,737,736,245,471,207,157,33,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,74,76,2,0,2,74,74,74,74,74,37,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,94,97,3,0,2,94,93,47,94,93,31,471,207,157,33,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22,22,1,0,1,22,22,22,22,22,22,207,207,207,0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,427,439,3,0,2,427,426,213,427,426,142,471,207,157,33,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,62,1,0,1,62,62,62,62,62,62,207,207,207,0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,91,96,2,0,2,91,91,91,91,91,45,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,27,28,2,0,2,27,27,27,27,27,13,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,58,59,2,0,2,58,58,58,58,58,29,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,77,79,2,0,2,77,77,77,77,77,38,378,207,189,22,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,704,742,3,0,2,704,703,352,704,703,234,471,207,157,33,0,YES
